SimNum," ""Intercept"""," ""Int_Low_CI"""," ""Int_Up_CI"""," ""Slope"""," ""Sl_Low_CI"""," ""Sl_Up_CI"""," ""a90"""," ""a9095"""," ""AIC"""," ""Iter"""," ""Converged"""," ""Separated"""," ""Uneven"""," ""Uneven_lower"""," ""Overlap"""," ""Case"""," ""Insp"""," ""N""",Model,a50,a25,
30,-5.794695853,-9.355688673,-3.32E+00,19.06213303,11.06157868,30.67282512,0.419256356,0.519670792,43.93603264,6,1,0,0.5,0.5,0.466666667,2,3,60,Logit,0.303989897,0.278960103,
1,-2.101049305,-5.115454423,2.18E-02,17.12241658,6.352995036,35.95670964,0.251031965,0.419119314,36.24011257,14,,0,0.166666667,0.166666667,0.366666667,2,1,60,Firth,0.122707522,0.094842223,
1,-3.699502827,-6.711723125,-1.65E+00,19.48389803,9.944235016,35.35746334,0.302646185,0.423714343,39.04144034,11,,0,0.283333333,0.283333333,0.366666667,2,2,60,Firth,0.189874881,0.165386904,
1,-4.97481247,-8.075047213,-2.84E+00,15.77558259,9.029481355,25.51668452,0.454628982,0.578864546,40.42102099,9,,0,0.5,0.5,0.366666667,2,3,60,Firth,0.315348891,0.285104603,
2,-2.865542046,-5.988048618,-6.36E-01,22.36443389,9.627321624,42.14458221,0.2263758,0.328916193,38.98697994,12,,0,0.183333333,0.183333333,0.35,2,1,60,Firth,0.128129425,0.106795495,
2,-3.780470152,-6.946413154,-1.61E+00,22.18907256,11.10012669,39.82640668,0.269398133,0.369567191,43.44191958,11,,0,0.283333333,0.283333333,0.416666667,2,2,60,Firth,0.170375312,0.148872779,
2,-4.502521262,-7.175743165,-2.50E+00,16.93086665,9.366487007,27.16395904,0.395711925,0.515510567,47.73390036,9,,0,0.5,0.5,0.416666667,2,3,60,Firth,0.265935664,0.237755107,
3,-4.226515042,-8.345891715,-1.46E+00,28.84197877,12.62796042,55.95993905,0.222721876,0.325003521,31.33709667,15,,0,0.183333333,0.183333333,0.25,2,1,60,Firth,0.146540398,0.1299978,
3,-4.163759409,-7.252588075,-2.02E+00,21.4052659,11.56269671,37.12104441,0.297169118,0.395575702,36.97377741,11,,0,0.283333333,0.283333333,0.366666667,2,2,60,Firth,0.194520331,0.17223043,
3,-5.917299114,-9.674768405,-3.40E+00,19.02555969,11.16273702,30.5822883,0.426506438,0.519157315,39.16233357,9,,0,0.5,0.5,0.366666667,2,3,60,Firth,0.311018399,0.28594049,
4,-2.352365754,-4.844866485,-4.50E-01,19.63320106,8.836476268,38.06190512,0.231729422,0.356506216,34.45854512,12,,0,0.166666667,0.166666667,0.2,2,1,60,Firth,0.119815701,0.095513946,
4,-4.32848224,-7.386384487,-2.17E+00,23.34985836,12.95486256,38.65919917,0.279475221,0.362470528,32.89526621,11,,0,0.283333333,0.283333333,0.2,2,2,60,Firth,0.185375096,0.164941514,
4,-7.775732724,-14.05579419,-4.19E+00,25.90924575,14.13779188,46.71345132,0.384918859,0.473461405,31.76734745,13,,0,0.5,0.5,0.2,2,3,60,Firth,0.300114206,0.28169911,
5,-1.778635094,-3.995854465,5.85E-02,16.0773203,6.578200854,29.4774849,0.247296166,0.372932333,40.6491895,10,,0,0.166666667,0.166666667,0.6,2,1,60,Firth,0.110630072,0.080953406,
5,-2.99483373,-5.414081469,-1.15E+00,17.196534,8.632079428,29.23957575,0.301924696,0.412976045,47.11500729,9,,0,0.283333333,0.283333333,0.6,2,2,60,Firth,0.174153334,0.146408135,
5,-3.222147831,-5.286845972,-1.64E+00,11.44880934,5.915830408,18.98261679,0.473356857,0.667964305,57.89139505,8,,0,0.5,0.5,0.6,2,3,60,Firth,0.281439557,0.239765245,
6,-2.110854573,-4.556754906,-1.93E-01,15.84194672,6.614596585,29.47750933,0.271941272,0.409131247,41.73918325,11,,0,0.183333333,0.183333333,0.4,2,1,60,Firth,0.133244645,0.103127056,
6,-3.223416942,-5.847519333,-1.28E+00,17.13479323,8.542913484,29.75699076,0.316352899,0.436365141,45.71672243,10,,0,0.283333333,0.283333333,0.483333333,2,2,60,Firth,0.188121146,0.160275975,
6,-4.530317942,-7.250154803,-2.54E+00,15.2493316,8.546377798,24.70861656,0.441169665,0.574615703,46.97780057,9,,0,0.5,0.5,0.483333333,2,3,60,Firth,0.29708305,0.265795039,
7,-2.948179415,-6.145678562,-8.15E-01,22.12309123,9.945541761,43.76138567,0.232580698,0.356674255,29.76425377,14,,1,0.166666667,0.166666667,0.216666667,2,1,60,Firth,0.133262544,0.111695881,
7,-4.331885282,-7.595181671,-2.13E+00,21.14193434,11.52458592,36.74095783,0.308822729,0.409338474,31.87160634,11,,1,0.283333333,0.283333333,0.216666667,2,2,60,Firth,0.204895409,0.182327878,
7,-9.0927868,-18.2683058,-4.66E+00,26.89513233,13.98498985,54.01287519,0.419778986,0.519021922,28.0210899,14,,1,0.5,0.5,0.216666667,2,3,60,Firth,0.338082992,0.320342932,
8,-2.086726168,-4.156414039,-4.44E-01,14.260338,6.606747732,25.91523904,0.300410183,0.453377501,42.0283281,11,,0,0.216666667,0.216666667,0.5,2,1,60,Firth,0.146330765,0.112872845,
8,-1.721239628,-3.317033413,-3.77E-01,9.681102241,4.648049819,16.64657561,0.404753933,0.606790416,52.72059127,9,,0,0.283333333,0.283333333,0.666666667,2,2,60,Firth,0.177793766,0.128509992,
8,-2.949846444,-4.711203932,-1.56E+00,8.933293107,4.946889789,14.22759506,0.576167261,0.789746806,56.57433251,7,,0,0.5,0.5,0.666666667,2,3,60,Firth,0.330208178,0.276798842,
9,-1.545514807,-3.460136509,8.41E-02,13.21068346,5.436405763,24.26278077,0.283311563,0.44571195,42.09364619,10,,0,0.183333333,0.183333333,0.45,2,1,60,Firth,0.116989769,0.08087345,
9,-2.769671672,-4.910166119,-1.08E+00,15.15084126,7.706360236,25.36651722,0.327829733,0.454818944,44.74142232,10,,0,0.283333333,0.283333333,0.533333333,2,2,60,Firth,0.182806461,0.151315058,
9,-3.670603271,-6.024186633,-1.95E+00,11.85822161,6.267851366,19.6639585,0.494832028,0.682948198,50.34249882,9,,0,0.5,0.5,0.533333333,2,3,60,Firth,0.309540789,0.269305307,
10,-1.230534708,-3.026407218,2.64E-01,11.00625495,4.686298857,20.96322803,0.311437387,0.50785237,38.83876524,11,,0,0.166666667,0.166666667,0.366666667,2,1,60,Firth,0.111803217,0.068453207,
10,-2.827181148,-5.026469523,-1.21E+00,13.53920302,7.277634153,23.17320559,0.371100553,0.515599616,40.15471936,10,,0,0.283333333,0.283333333,0.366666667,2,2,60,Firth,0.208814444,0.173574463,
10,-4.61381074,-7.429111805,-2.63E+00,12.59221784,7.390453723,19.90224659,0.540892431,0.679157772,41.94599163,8,,0,0.5,0.5,0.366666667,2,3,60,Firth,0.366401757,0.328511589,
11,-2.120387099,-4.198753376,-4.97E-01,17.15295725,8.60164777,30.13838411,0.251712379,0.364313829,34.14285018,11,,0,0.183333333,0.183333333,0.3,2,1,60,Firth,0.123616416,0.095800731,
11,-3.272504894,-5.73880748,-1.49E+00,17.37499117,9.703901923,28.69193032,0.314804734,0.413366098,38.15515532,9,,0,0.283333333,0.283333333,0.366666667,2,2,60,Firth,0.188345701,0.160885471,
11,-6.308762444,-10.89203676,-3.43E+00,20.32013907,11.32703652,34.47338291,0.418598859,0.51451843,38.50367627,11,,0,0.5,0.5,0.366666667,2,3,60,Firth,0.310468468,0.286988252,
12,-1.767500385,-3.787871338,-9.78E-02,13.11051673,5.904141241,23.58934557,0.302407986,0.448254895,41.62222839,10,,0,0.183333333,0.183333333,0.516666667,2,1,60,Firth,0.134815463,0.098423209,
12,-2.870617266,-5.060196386,-1.17E+00,14.25386299,7.591336398,23.66332199,0.355541641,0.478497284,45.69191044,9,,0,0.283333333,0.283333333,0.65,2,2,60,Firth,0.201392231,0.167919112,
12,-4.418342789,-7.065515155,-2.47E+00,13.60446544,7.777400436,21.51921369,0.486279112,0.617124837,49.41981534,8,,0,0.5,0.5,0.65,2,3,60,Firth,0.32477151,0.28970058,
13,-1.267728217,-3.239903959,4.33E-01,13.12959388,4.849520345,24.76019818,0.263904034,0.426064319,43.55505108,10,,0,0.166666667,0.166666667,0.35,2,1,60,Firth,0.096555021,0.060215645,
13,-3.40458361,-6.147172641,-1.44E+00,19.56084253,10.06295268,33.65286335,0.286378676,0.386435363,43.88209786,10,,0,0.283333333,0.283333333,0.35,2,2,60,Firth,0.17405097,0.149659318,
